V1,V2,V3,V4,V5,V6
2187.7333,97.6133,-0.0034,2.0222,2834.0,16.1445
2230.4222,102.3433,-0.0148,2.2667,2853.0,10.9036
2186.4111,95.4878,0.0013,2.3333,2936.0,11.3019
2199.0333,104.2367,-0.0033,2.6444,2936.0,13.5597
2233.3667,100.3967,-0.0072,3.1556,2865.0,21.9782
2233.3667,100.3967,0.0055,1.6333,2865.0,7.618
2230.4222,102.3433,0.0105,2.4889,2853.0,12.74
2248.9,106.24,0.0007,2.7889,2865.0,5.5936
2248.9,106.24,-0.0066,2.1444,2865.0,8.8612
2248.9,106.24,0.0049,2.3778,2865.0,6.8983
2195.1222,103.34,0.0013,1.9444,2891.0,7.8579
2196.2111,97.9156,-0.0154,2.0667,2865.0,9.4424
2195.1222,103.34,0.0216,2.8222,2936.0,11.0227
2184.4333,107.8711,-0.0031,2.3,2872.0,12.64
2224.6222,104.8489,-0.0119,2.4222,2887.0,10.2273
2224.6222,104.8489,-0.0024,2.2444,2875.0,5.9718
2270.2556,104.8078,-0.0037,2.9667,2845.0,16.6636
2270.2556,104.8078,-0.0027,2.2667,2845.0,9.6391
2207.3889,104.0311,0.0014,2.9556,2845.0,11.7073
2208.8556,107.8022,-0.0179,2.4556,2936.0,9.9538
2201.0667,101.5122,0.0116,2.3889,2839.0,9.8192
2207.3889,104.0311,-0.0044,2.7222,2839.0,11.5491
2207.3889,104.0311,-0.0114,2.9222,2845.0,10.1218
2160.3667,105.4978,-0.0138,2.0667,2887.0,13.1691
2203.9,102.2733,0.0073,2.4889,2848.0,15.3809
2257.1667,106.34,0.0058,2.4333,2864.0,16.7209
2257.1667,106.34,-0.0056,2.3111,2856.0,19.5391
2223.0333,109.7067,0.0204,2.8778,2890.0,9.3895
2190.4889,102.1178,0.0032,2.2,2890.0,13.3609
2180.3778,100.2789,0.0138,2.6444,2849.0,8.2273
2191.6667,100.6767,0.0177,2.1667,2864.0,11.3609
2180.3778,100.2789,-0.0056,2.9,2849.0,10.3808
2197.3111,105.3911,-0.0029,3.0889,2910.0,18.9564
2197.3111,105.3911,0.0064,2.0333,2864.0,18.5418
2225.1777,110.2789,0.017,2.2667,2876.0,10.2673
2191.6667,100.6767,0.0115,2.7778,2854.0,24.2354
2223.1667,110.6333,0.0088,2.6889,2890.0,11.68
2221.8445,111.6278,0.0211,2.7222,2849.0,9.9827
2222.6778,110.5644,0.0079,2.1889,2936.0,10.8518
2169.4667,100.8444,-0.0013,2.0444,2864.0,16.3172
2221.5778,111.3444,0.014,2.4222,2890.0,10.7536
2180.3778,100.2789,0.0137,2.5556,2856.0,16.9054
2180.3778,100.2789,0.0092,2.4444,2910.0,21.26
2174.8666,103.6,0.0067,2.7444,2875.0,9.89
2166.5222,104.5211,-0.008,2.0111,2859.0,25.1263
2166.5222,104.5211,0.005,2.5667,2859.0,23.28
2166.5222,104.5211,0.0034,2.2778,2856.0,20.0673
2166.5222,104.5211,0.011,2.2222,2887.0,6.8212
2169.4667,100.8444,0.0067,2.2667,2908.0,9.691
2174.8666,103.6,0.0065,2.6556,2859.0,8.77
2172.9778,101.84,0.0052,1.9444,2832.0,11.31
2180.6778,103.3778,-0.0076,2.0667,2910.0,20.2036
2166.5222,104.5211,0.0146,2.7333,2892.0,33.8537
2172.9778,101.84,0.0047,2.5,2864.0,16.6618
2180.6778,103.3778,0.0031,2.7556,2859.0,11.3827
2166.5222,104.5211,0.0033,2.6667,2836.0,9.6273
2206.5112,101.6667,0.0029,2.2556,2910.0,12.6155
2164.4111,100.5189,0.0116,2.5556,2832.0,33.7264
2223.8,110.06,0.0263,2.5222,2849.0,7.4773
2197.3111,105.3911,-0.001,2.1889,2832.0,15.9918
2206.5112,101.6667,-0.0042,2.2333,2859.0,20.591
2220.5445,106.2567,0.0044,2.7778,2875.0,20.21
2206.5112,101.6667,0.003,2.6,2892.0,26.1263
2246.4889,103.3222,-0.0023,3.1889,2832.0,19.6637
2187.5222,102.4622,0.0071,2.3667,2891.0,30.5082
2202.7111,104.3067,0.0068,2.8333,2862.0,23.5618
2202.7111,104.3067,0.0136,2.5889,2915.0,22.6964
2202.7111,104.3067,0.007,3.0444,2864.0,19.4236
2246.4889,103.3222,0.009,2.9333,2888.0,20.44
2220.5445,106.2567,0.0077,2.6556,2910.0,16.2955
2246.4889,103.3222,-0.0058,2.3444,2915.0,15.9563
2191.6667,103.4233,0.0076,2.7111,2910.0,8.9481
2191.6667,103.4233,0.0011,2.3556,2910.0,18.3472
2220.5445,106.2567,0.0064,2.4667,2832.0,17.0272
2199.3334,100.5544,-0.0042,3.1556,2906.0,15.0236
2191.6667,103.4233,-0.0029,2.8,2892.0,21.8491
2183.4333,99.0267,0.0022,3.1444,2906.0,14.2318
2191.6667,103.4233,0.0022,2.7111,2888.0,16.6609
2183.4333,99.0267,-0.0042,2.0111,2875.0,21.0827
2246.4889,103.3222,-0.0099,2.9667,2910.0,10.5321
2183.4333,99.0267,-0.0016,2.7333,2888.0,19.9972
2246.4889,103.3222,-0.001,2.7333,2875.0,13.7445
2239.3,100.1189,0.0064,2.7111,2859.0,22.91
2202.7111,104.3067,0.0165,2.9556,2906.0,10.9873
2246.4889,103.3222,0.0033,2.6333,2888.0,22.3246
2199.3334,100.5544,-0.0044,2.7111,2891.0,22.4155
2199.3334,100.5544,-0.0111,2.6667,2891.0,27.9609
2183.4556,102.6978,0.0007,2.3222,2849.0,9.4782
2265.1889,100.3889,0.023,2.8556,2849.0,5.8827
2191.9,98.1244,-0.0009,2.4333,2891.0,29.4
2265.1889,100.3889,-0.0098,2.7778,2808.0,13.0754
2174.8666,103.6,0.0349,2.4778,2864.0,10.7382
2246.4889,103.3222,-0.0167,2.9667,2832.0,16.4146
2193.1555,101.1111,0.0008,2.2333,2908.0,27.869
2172.3666,97.2633,0.0043,2.6,2854.0,26.6791
2180.1556,98.1289,0.007,2.3,2891.0,31.3127
2191.6667,103.4233,0.0006,2.7889,2875.0,13.7328
2265.1889,100.3889,0.0028,2.6556,2849.0,7.38
2183.4556,102.6978,0.0194,2.5778,2849.0,3.3254
2232.5889,104.1067,0.0053,2.3333,2910.0,27.5963
2265.1889,100.3889,0.0041,2.8111,2849.0,3.0204
2209.9222,99.0811,-0.0046,2.3111,2849.0,7.4273
2213.7667,98.1978,0.0004,2.8,2908.0,18.47
2265.1889,100.3889,-0.0024,2.6111,2834.0,14.18
2191.9,98.1244,-0.0093,3.0,2894.0,8.2148
2220.7111,103.0567,0.0169,2.5556,2906.0,11.4437
2171.9,99.22,0.0044,3.3,2899.0,12.7836
2172.3666,97.2633,0.0094,3.0333,2906.0,15.6664
2171.9,99.22,0.0026,2.7333,2908.0,8.2381
2171.9,99.22,-0.0063,3.1889,2870.0,16.9794
2220.7111,103.0567,0.0153,2.8333,2836.0,10.2527
2197.8445,99.6667,0.0118,3.0667,2906.0,7.3481
2197.8667,100.2811,0.0029,2.6111,2856.0,17.4936
2210.6111,102.9356,0.0152,2.5444,2892.0,16.6345
2181.1555,101.3611,0.0006,3.0556,2894.0,8.01
2232.5889,104.1067,0.0151,3.1667,2875.0,10.6818
2178.1444,101.0956,-0.0059,3.2333,2899.0,10.7936
2232.5889,104.1067,0.009,2.4,2908.0,12.1563
2220.7111,103.0567,0.0069,2.6667,2899.0,13.69
2171.9,99.22,0.004,2.8889,2875.0,21.6236
2183.4556,102.6978,-0.0068,2.4667,2891.0,29.6318
2171.9,99.22,-0.001,2.4556,2875.0,24.1545
2222.3222,99.6944,0.0006,2.3333,2915.0,17.1728
2222.3333,100.3989,-0.0007,2.9111,2892.0,24.1954
2239.4223,98.3356,-0.0002,3.1,2878.0,8.7877
2196.6555,101.89,0.0033,2.4667,2894.0,28.3818
2191.9,98.1244,0.014,2.9556,2875.0,18.7055
2239.4223,98.3356,-0.0057,2.9556,2878.0,7.3818
2232.5889,104.1067,-0.0045,2.9889,2859.0,17.3827
2220.4444,100.5189,-0.0013,2.7778,2892.0,25.4591
2183.4556,102.6978,0.0083,2.6222,2904.0,22.9055
2171.9,99.22,0.0074,2.5778,2894.0,32.4018
2196.6555,101.89,0.0028,2.8222,2892.0,25.7227
2172.3666,97.2633,0.0056,2.3667,2891.0,39.6172
2242.2444,99.9944,-0.0004,2.5444,2899.0,12.64
2222.3222,99.6944,0.0098,2.6889,2864.0,16.1428
2178.1444,101.0956,0.0124,3.0889,2906.0,15.3845
2178.1444,101.0956,0.007,3.3333,2899.0,15.2672
2171.9,99.22,0.0093,2.5667,2894.0,10.0091
2181.1555,101.3611,-0.0149,3.2667,2899.0,12.5572
2224.4778,101.8267,-0.0074,2.9333,2841.0,22.15
2224.4778,101.8267,-0.0036,3.1111,2841.0,29.0909
2196.6555,101.89,0.0136,3.3444,2899.0,16.67
2222.3222,99.6944,0.0036,2.1889,2859.0,38.8027
2196.6555,101.89,-0.008,2.5,2859.0,28.8718
2196.6555,101.89,-0.0057,2.7778,2915.0,14.8854
2222.3222,99.6944,0.0067,2.9111,2906.0,9.6736
2242.2444,99.9944,-0.0031,2.9556,2904.0,17.26
2224.4778,101.8267,-0.0048,2.4778,2878.0,10.3014
2222.0,100.0144,-0.0035,2.4111,2894.0,40.0636
2219.8222,102.3356,-0.0027,2.7778,2830.0,21.0082
2180.1556,98.1289,-0.0029,3.2222,2846.0,10.3099
2222.3222,99.6944,0.0047,2.8889,2908.0,10.4873
2242.2444,99.9944,0.0085,2.5889,2907.0,23.2691
2196.6555,101.89,-0.0003,3.1444,2910.0,10.5591
2186.2667,103.5633,-0.0088,2.6333,2880.0,11.1138
2181.6111,104.1478,-0.0043,2.6889,2864.0,16.7373
2208.0,100.2478,0.0018,3.2444,2870.0,8.3455
2181.5111,100.9333,0.0038,2.3111,2889.0,23.1272
2184.8778,102.5333,-0.0085,1.9556,2830.0,35.0263
2184.8778,102.5333,-0.0196,2.7,2825.0,16.1127
2221.9444,99.2678,0.0026,2.6222,2878.0,24.4318
2184.8778,102.5333,-0.0133,2.7333,2825.0,23.5091
2181.6111,104.1478,0.0059,2.7,2891.0,26.6782
2217.7556,105.31,0.0041,2.5889,2830.0,25.3682
2221.9444,99.2678,0.0082,2.6778,2880.0,13.1981
2218.7889,98.2667,-0.0038,2.4,2825.0,23.9927
2184.8778,102.5333,0.0003,1.8222,2827.0,31.4
2218.7889,98.2667,-0.0008,2.5222,2825.0,20.8473
2184.8778,102.5333,0.0032,1.9333,2827.0,29.8373
2221.9444,99.2678,-0.0013,3.1,2878.0,15.0791
2184.8778,102.5333,-0.0042,2.6222,2849.0,12.36
2221.9444,99.2678,0.0146,2.0111,2878.0,28.7191
2248.4222,102.6444,0.0177,3.2556,2906.0,13.4282
2234.6111,98.7567,0.0031,3.0556,2885.0,13.4854
2248.4222,102.6444,0.008,3.1,2910.0,6.1218
2248.4222,102.6444,0.0035,2.3667,2901.0,31.7364
2248.4222,102.6444,0.006,2.8222,2889.0,26.4028
2234.6111,98.7567,-0.0117,2.7222,2892.0,21.1246
2256.1222,106.3122,0.0001,1.8556,2895.0,28.5245
2221.9444,99.2678,0.0033,2.5556,2868.0,32.0718
2256.1222,106.3122,-0.0013,2.7333,2849.0,14.6145
2221.9444,99.2678,0.0042,2.5444,2878.0,12.9837
2228.0555,100.2256,0.0027,2.0333,2908.0,27.2246
2234.6111,98.7567,-0.0146,2.1111,2887.0,19.1
2220.7111,103.0567,-0.0011,2.8333,2909.0,11.4237
2221.9444,99.2678,0.008,2.3222,2880.0,10.8136
2221.9444,99.2678,0.0097,2.5111,2877.0,32.7664
2221.9444,99.2678,0.0285,2.7222,2880.0,13.2064
2138.8778,103.34,0.0107,3.2222,2894.0,13.1337
2171.8111,104.7444,0.0129,2.0222,2816.0,13.1382
2171.8111,104.7444,0.0097,2.6111,2816.0,13.46
2139.2667,102.2522,0.0095,2.3667,2827.0,27.8945
2191.7889,106.6711,0.0114,2.5,2816.0,11.9518
2139.2667,102.2522,0.0097,2.6222,2827.0,28.9772
2220.7111,103.0567,0.0097,2.5778,2854.0,7.3772
2304.2111,96.9967,0.0126,2.1222,2901.0,35.1191
2177.1667,104.9322,0.013,3.0222,2830.0,23.77
2223.4,105.7289,0.01,2.9111,2888.0,14.8954
2146.8555,106.8833,-0.0106,2.6111,2827.0,28.9673
2165.6222,105.9356,-0.0119,2.7111,2816.0,14.5664
2192.6889,102.1067,-0.0192,3.0444,2888.0,29.7382
2280.8222,101.9111,0.0039,2.6778,2833.0,15.2927
2205.2889,98.8056,0.0012,2.4333,2870.0,7.8629
2212.7111,101.93,0.0033,2.8333,2821.0,12.7346
2212.7111,101.93,0.0093,1.6444,2824.0,10.2716
2184.8889,103.1656,-0.0137,3.0667,2816.0,17.3355
2187.4444,104.13,0.003,2.3556,2845.0,6.8205
2211.3889,101.9133,-0.0135,2.5667,2824.0,12.69
2205.2889,98.8056,0.0084,2.3667,2870.0,11.2793
2205.4667,105.56,-0.0019,2.4444,2870.0,7.5146
2216.9556,105.0367,-0.0015,2.7,2821.0,10.9753
2230.0333,99.0522,0.0117,2.3111,2835.0,5.1368
2179.0445,95.4256,0.0092,1.7556,2835.0,13.8864
2185.9333,98.6822,-0.0106,2.2,2819.0,8.0949
2205.2889,98.8056,0.0071,2.5111,2831.0,21.5991
2205.2889,98.8056,-0.0143,2.6778,2845.0,11.9646
2211.3889,101.9133,-0.0018,2.1111,2866.0,16.9545
2273.7556,105.0467,0.0047,2.3111,2835.0,10.2433
2233.7666,100.7256,-0.0023,2.6444,2822.0,8.3309
2233.7666,100.7256,-0.0127,2.5222,2821.0,15.03
2225.5889,97.2756,-0.0008,2.3111,2824.0,10.1573
2205.2889,98.8056,-0.0034,2.4,2845.0,13.8522
2185.9333,98.6822,-0.0063,3.0444,2824.0,4.3998
2197.6444,99.9211,0.0018,2.5,2866.0,17.0436
2197.6444,99.9211,-0.0113,1.9333,2866.0,16.2737
2197.6444,99.9211,-0.0061,2.2889,2866.0,16.7854
2197.6444,99.9211,-0.0068,2.8333,2902.0,15.0091
2179.0445,95.4256,0.0004,3.0111,2824.0,21.3618
2185.9333,98.6822,-0.0119,2.7111,2870.0,9.5036
2185.9333,98.6822,-0.0015,1.8,2833.0,15.2427
2214.0556,102.9389,-0.0055,3.1556,2897.0,17.7409
2204.9223,100.4322,-0.0008,2.8222,2831.0,9.4168
2231.9556,102.5344,-0.0037,2.7333,2831.0,12.8882
2177.3222,101.1478,-0.0001,3.3778,2823.0,14.6254
2197.6444,99.9211,-0.0016,2.6111,2902.0,19.3763
2230.0333,99.0522,-0.0181,2.5889,2829.0,26.3554
2185.9333,98.6822,0.0086,3.0889,2829.0,16.91
2230.0333,99.0522,-0.0225,2.8333,2829.0,25.2836
2197.2667,104.1722,-0.0034,2.4444,2830.0,11.0918
2191.1111,102.51,0.0104,1.7778,2822.0,8.9208
2185.9333,98.6822,-0.0088,3.0556,2828.0,19.5491
2181.1555,103.1456,-0.003,2.7,2829.0,18.8173
2204.9223,100.4322,0.0134,2.2111,2831.0,22.3637
2280.8222,101.9111,-0.0087,2.9889,2833.0,17.8636
2177.3222,101.1478,0.0073,2.4222,2866.0,14.9737
2177.3222,101.1478,-0.0089,3.0333,2909.0,15.9709
2195.7666,101.46,-0.0043,2.0333,2823.0,18.8891
2195.7666,101.46,-0.0025,2.3111,2819.0,12.9954
2185.8111,102.6422,-0.005,2.0778,2914.0,10.9861
2178.7333,101.4922,-0.0064,3.5111,2830.0,11.1018
2185.8111,102.6422,-0.0012,2.3111,2866.0,21.8055
2197.2667,104.1722,-0.0037,2.3111,2863.0,10.2603
2244.1111,100.8067,0.0101,2.9333,2819.0,9.9963
2197.6444,99.9211,0.0008,2.7667,2859.0,10.5689
2244.1111,100.8067,-0.0019,2.8,2913.0,15.5709
2244.1111,100.8067,0.0057,2.2111,2859.0,10.3545
2243.7778,102.0978,-0.0044,2.0,2835.0,5.3233
2176.6334,100.4622,0.0012,2.7444,2910.0,13.6636
2197.2667,104.1722,-0.0044,2.4111,2830.0,11.4203
2176.6334,100.4622,0.0004,2.1556,2863.0,11.9663
2243.7778,102.0978,0.0023,2.2889,2819.0,12.0333
2177.3222,101.1478,0.0029,2.0444,2828.0,12.7282
2243.7778,102.0978,-0.0013,1.8778,2802.0,10.5221
2177.3222,101.1478,0.0112,3.1,2859.0,8.8552
2243.7778,102.0978,0.0021,2.0667,2909.0,11.0509
2197.2667,104.1722,0.0026,2.4,2902.0,18.6255
2185.8111,102.6422,0.0027,2.6667,2833.0,17.9019
2243.7778,102.0978,-0.0103,2.5778,2909.0,12.1109
2243.7778,102.0978,0.0015,3.2889,2819.0,7.5638
2183.5777,100.4478,-0.0054,2.6667,2833.0,14.0055
2244.1111,100.8067,0.0017,3.0778,2835.0,13.3354
2178.7333,101.4922,-0.0032,2.1778,2823.0,9.0364
2243.7778,102.0978,0.0073,2.0778,2909.0,13.3955
2244.1111,100.8067,0.0069,2.4556,2824.0,8.3872
2244.1111,100.8067,0.001,2.3111,2897.0,89.5305
2243.7778,102.0978,0.0118,1.9667,2830.0,16.2241
2178.7333,101.4922,0.0004,2.7667,2909.0,15.99
2185.8111,102.6422,-0.0147,2.8444,2866.0,23.1445
2243.7778,102.0978,-0.0017,2.8556,2897.0,13.9691
2201.5777,99.9956,0.0068,3.0111,2819.0,12.569
2243.7778,102.0978,0.0067,1.8444,2823.0,12.1437
2177.3222,101.1478,0.0012,2.4667,2828.0,12.3364
2194.6444,101.9767,0.0306,2.4111,2859.0,12.2864
2214.7111,103.9367,0.0076,2.2111,2801.0,14.6127
2194.6444,101.9767,0.007,3.1111,2830.0,14.9736
2194.6444,101.9767,0.0113,3.3111,2902.0,22.8155
2214.7111,103.9367,-0.0113,2.7778,2833.0,13.2909
2214.7111,103.9367,0.0022,2.5111,2828.0,13.4436
2218.5778,98.1311,-0.0025,2.5778,2828.0,16.3736
2178.7333,101.4922,-0.0046,3.0778,2908.0,13.3309
2244.1111,100.8067,-0.0037,2.7889,2816.0,21.5173
2214.7111,103.9367,0.053,2.3,2802.0,9.2163
2194.6444,101.9767,-0.0093,2.4556,2861.0,13.9591
2201.5777,99.9956,0.0028,2.3222,2859.0,8.4962
2214.7111,103.9367,-0.0046,3.1444,2897.0,10.7173
2224.0,99.83,0.0024,2.3778,2830.0,7.7589
2185.8111,102.6422,-0.0042,3.2111,2802.0,26.32
2218.5778,98.1311,-0.0105,2.4889,2835.0,6.612
2218.5778,98.1311,0.0396,2.5333,2822.0,7.0997
2202.4333,100.8067,-0.0073,3.2778,2828.0,17.78
2201.5777,99.9956,-0.002,2.7,2828.0,13.1655
2195.5333,99.25,-0.0103,3.2889,2821.0,19.3609
2238.5444,99.31,0.0057,2.4222,2843.0,16.8836
2224.0,99.83,-0.0067,2.8111,2801.0,11.4436
2201.5777,99.9956,-0.0145,2.4333,2821.0,32.6027
2195.5333,99.25,-0.0006,2.7778,2833.0,13.0092
2214.7111,103.9367,-0.0052,2.0556,2902.0,18.1246
2214.7111,103.9367,0.0016,2.8333,2824.0,11.2243
2178.7333,101.4922,-0.0025,2.7778,2909.0,23.1546
2214.7111,103.9367,-0.0057,2.2778,2828.0,9.9073
2214.7111,103.9367,0.005,1.9667,2823.0,16.8291
2238.5444,99.31,-0.0076,2.3333,2835.0,22.3027
2238.5444,99.31,-0.0075,1.8,2902.0,14.0973
2196.6889,99.1133,-0.0185,2.2333,2866.0,28.929
2196.6889,99.1133,-0.0135,1.8667,2821.0,10.4509
2218.5778,98.1311,0.0366,2.6222,2861.0,12.8118
2201.5889,105.4122,-0.0068,2.2778,2830.0,10.2
2224.0,99.83,-0.022,2.0556,2861.0,8.7726
2180.9666,106.3311,0.0103,2.7333,2830.0,10.5607
2196.6889,99.1133,-0.0034,2.3667,2828.0,10.9023
2196.6889,99.1133,-0.0151,2.2444,2914.0,12.8245
2238.5444,99.31,0.0024,2.2667,2823.0,11.4509
2238.5444,99.31,0.0058,2.7778,2909.0,18.0182
2224.0,99.83,-0.0054,2.1889,2821.0,9.858
2194.2889,99.6367,0.0084,2.1778,2834.0,14.8618
2177.3222,101.1478,0.0003,2.3889,2833.0,10.0455
2238.5444,99.31,-0.0014,2.4444,2823.0,4.4283
2207.0444,101.6778,0.0072,2.2111,2830.0,11.9155
2205.2222,106.8389,0.0031,2.1222,2873.0,11.8157
2197.6778,102.9611,0.0044,2.3222,2843.0,15.7827
2208.4444,103.71,-0.0036,2.4,2824.0,10.8654
2196.6889,99.1133,0.0026,2.5333,2821.0,24.1964
2204.2667,101.2411,0.0086,2.7111,2823.0,9.0382
2224.0,99.83,-0.0051,2.5333,2821.0,12.2082
2207.0444,101.6778,-0.0032,2.6444,2866.0,28.0482
2201.5777,99.9956,0.006,2.3778,2821.0,35.8527
2197.2333,104.8733,0.001,2.3667,2825.0,8.608
2197.2333,104.8733,0.0082,2.3667,2825.0,15.769
2197.2333,104.8733,-0.0023,2.8111,2820.0,13.2773
2180.9666,106.3311,-0.0113,2.3333,2822.0,7.8294
2197.6778,102.9611,0.0016,1.6889,2821.0,16.0027
2218.0555,105.8133,0.0049,2.0667,2824.0,13.7409
2180.9666,106.3311,0.0057,2.5667,2801.0,17.049
2197.6778,102.9611,0.0039,2.5333,2909.0,13.3482
2194.2889,99.6367,0.0105,2.2556,2830.0,13.4373
2197.2333,104.8733,0.0107,2.8,2873.0,11.3137
2238.5444,99.31,0.0117,2.2111,2828.0,12.1
2218.5778,98.1311,0.0141,2.3333,2902.0,21.1427
2198.7222,104.1989,0.0087,2.7,2824.0,16.2636
2170.5444,104.53,0.0052,2.3556,2821.0,8.7121
2196.6889,99.1133,-0.0162,2.4889,2824.0,21.1545
2208.4444,103.71,0.0069,2.7,2820.0,11.6809
2208.4444,103.71,0.0083,2.5667,2822.0,7.673
2186.9889,103.3322,0.0031,2.1556,2859.0,17.02
2218.0555,105.8133,0.0048,2.3333,2913.0,9.5504
2218.0555,105.8133,0.0097,2.9444,2861.0,26.1591
2218.0555,105.8133,0.0039,3.3111,2861.0,14.411
2224.0,99.83,-0.0017,2.7222,2866.0,25.9427
2197.6778,102.9611,0.0004,2.3778,2822.0,7.9793
2218.5778,98.1311,0.0089,2.2,2828.0,5.9227
2198.7222,104.1989,0.0178,2.3222,2824.0,10.84
2224.0,99.83,0.0101,1.5778,2811.0,20.3227
2186.9889,103.3322,0.0015,2.5778,2825.0,13.8836
2186.9889,103.3322,0.0107,2.0333,2902.0,19.6
2178.0778,104.0167,-0.0324,1.4222,2862.0,9.9493
2208.4444,103.71,0.0111,2.6333,2801.0,14.9128
2186.9889,103.3322,0.0013,2.0667,2821.0,14.9264
2186.9889,103.3322,0.0137,2.3778,2821.0,10.8703
2198.7222,104.1989,0.0087,2.3667,2824.0,8.0228
2197.6778,102.9611,0.0095,2.3667,2861.0,11.5027
2238.5444,99.31,-0.0017,3.2556,2870.0,10.5628
2196.8,99.3944,0.0041,2.8333,2820.0,12.8827
2170.5444,104.53,0.0099,2.3778,2821.0,17.65
2218.0555,105.8133,-0.0021,2.4444,2913.0,15.22
2197.6778,102.9611,-0.0046,2.7333,2802.0,19.0246
2205.2222,106.8389,-0.0329,1.7111,2820.0,11.889
2198.7222,104.1989,0.0072,2.5111,2861.0,14.3846
2207.0444,101.6778,0.0152,2.1667,2830.0,16.9446
2197.2333,104.8733,0.0029,2.7667,2819.0,22.2982
2197.2333,104.8733,-0.0064,2.3333,2897.0,14.0218
2196.8,99.3944,-0.0036,3.0333,2914.0,5.5664
2213.7556,104.1667,-0.0052,2.5778,2820.0,10.3619
2186.9889,103.3322,0.0019,1.9222,2823.0,9.2136
2198.7222,104.1989,0.0091,1.6,2861.0,12.6317
2196.8,99.3944,-0.0289,2.7444,2910.0,13.3228
2205.2222,106.8389,-0.0001,2.2222,2824.0,13.0172
2206.4222,97.7689,-0.0013,2.3222,2909.0,27.9109
2186.9889,103.3322,-0.0046,2.9111,2861.0,10.6737
2197.6778,102.9611,0.0048,2.7,2902.0,15.86
